Trip_Distance_km,Trip_Duration_Minutes,Time_of_Day,Passenger_Count,Trip_Price
19.35,53.82,Morning,3.0,36.2624
36.87,37.27,Evening,1.0,52.9032
25.87,22.64,Evening,3.0,15.618000000000002
8.64,89.33,Afternoon,2.0,60.2028
43.44,61.57,Evening,3.0,101.1216
35.7,61.57,Afternoon,2.0,75.5657
41.79,86.95,Night,3.0,88.13279999999999
11.4,84.12,Morning,3.0,36.118
9.91,41.72,Evening,2.0,28.9914
15.27,61.57,Morning,2.0,27.3543
30.98,57.02,Afternoon,1.0,44.7782
18.95,54.04,Night,1.0,39.2366
23.35,66.8,Night,3.0,33.632000000000005
39.47,7.59,Afternoon,1.0,83.69649999999999
10.78,56.07,Evening,3.0,28.2443
30.03,83.21,Afternoon,1.0,64.7971
3.28,78.04,Evening,2.0,24.260800000000003
30.77,109.6,Morning,1.0,58.8121
9.36,7.07,Afternoon,1.0,20.7765
47.5,95.55,Morning,2.0,57.28
48.32,67.25,Morning,2.0,61.5552
40.61,42.25,Afternoon,1.0,54.1018
15.93,20.67,Afternoon,2.0,35.016400000000004
34.53,59.14,Morning,3.0,60.0471
22.57,105.98,Afternoon,1.0,62.77850000000001
6.98,72.37,Afternoon,2.0,20.791
25.26,82.53,Evening,2.0,57.0482
45.56,80.8,Afternoon,2.0,85.88400000000001
13.68,50.78,Evening,3.0,29.4758
33.46,64.07,Afternoon,2.0,30.9982
16.27,97.35,Morning,1.0,64.05529999999999
26.48,47.97,Morning,3.0,44.844
27.79,49.63,Evening,2.0,44.1197
10.06,16.0,Morning,2.0,20.1596
48.51,110.18,Evening,3.0,104.1764
38.98,15.47,Afternoon,3.0,57.0766
44.85,52.52,Evening,1.0,41.9343
30.3,51.65,Night,1.0,72.2695
5.34,12.72,Afternoon,2.0,10.2366
10.6,73.28,Afternoon,3.0,32.342
3.22,93.78,Afternoon,3.0,37.1504
16.94,100.24,Afternoon,3.0,78.715
20.05,24.61,Evening,2.0,29.8609
14.3,108.2,Night,3.0,59.181
41.61,61.57,Evening,3.0,47.314800000000005
27.59,67.33,Evening,1.0,61.459500000000006
4.65,56.54,Afternoon,1.0,33.8442
38.84,50.21,Morning,2.0,69.52810000000001
10.74,49.59,Morning,3.0,23.5462
1.27,37.99,Morning,2.0,11.3358
40.96,35.89,Morning,1.0,92.8432
35.64,104.02,Night,1.0,36.4388
36.72,13.03,Afternoon,2.0,61.8883
38.79,82.93,Afternoon,2.0,104.2421
4.63,24.87,Afternoon,2.0,18.8626
18.56,44.62,Morning,1.0,45.385000000000005
6.68,12.08,Night,2.0,16.9284
43.29,36.05,Evening,1.0,94.2463
31.54,93.37,Morning,2.0,87.6076
17.21,106.78,Afternoon,2.0,42.8661
4.11,30.48,Evening,2.0,11.2613
25.87,58.31,Night,1.0,45.8161
36.75,105.46,Afternoon,2.0,76.2217
25.87,92.72,Afternoon,1.0,57.9476
44.47,64.0,Night,1.0,59.761300000000006
24.14,82.14,Morning,2.0,55.3948
6.86,102.45,Night,2.0,29.4658
38.28,51.33,Afternoon,1.0,63.56110000000001
28.5,109.33,Afternoon,1.0,105.9418
25.87,67.43,Morning,1.0,60.077
21.95,44.99,Morning,3.0,27.865
2.25,61.57,Evening,3.0,40.65
6.29,80.37,Afternoon,3.0,29.645000000000003
2.54,53.11,Morning,2.0,25.7527
32.18,87.13,Night,2.0,62.4923
16.4,104.04,Evening,1.0,53.9332
25.92,22.79,Night,3.0,58.7766
13.22,51.92,Morning,2.0,31.99
25.87,109.77,Morning,2.0,37.355900000000005
46.56,119.21,Morning,3.0,99.8038
40.6,17.2,Afternoon,3.0,29.532000000000004
32.04,31.8,Afternoon,3.0,30.446
43.7,114.29,Afternoon,3.0,106.0042
40.38,115.21,Morning,1.0,63.432300000000005
10.14,16.24,Evening,3.0,19.974400000000003
44.74,6.72,Afternoon,2.0,62.8678
40.56,119.54,Evening,3.0,82.0828
44.91,25.7,Night,1.0,63.0611
21.93,74.52,Afternoon,3.0,48.024
43.18,104.17,Afternoon,3.0,98.6948
1.34,37.6,Afternoon,3.0,22.718200000000003
26.03,83.98,Morning,2.0,76.20850000000002
21.45,82.54,Evening,2.0,53.056
11.88,30.47,Afternoon,1.0,22.544600000000003
6.87,9.0,Morning,2.0,14.935
17.54,52.06,Morning,2.0,50.696
25.87,38.26,Afternoon,3.0,85.6182
16.84,98.03,Morning,2.0,30.942000000000004
26.42,97.04,Evening,3.0,75.22040000000001
25.87,57.56,Afternoon,3.0,73.587
18.82,74.75,Afternoon,2.0,22.8766
48.62,74.49,Afternoon,1.0,67.2293
15.74,35.48,Afternoon,2.0,39.4624
14.96,66.66,Morning,1.0,28.5862
2.81,56.65,Evening,3.0,27.4942
25.63,15.48,Afternoon,3.0,54.1556
14.65,29.58,Evening,2.0,40.020700000000005
45.51,27.65,Evening,1.0,36.4958
8.1,31.19,Afternoon,1.0,14.6127
24.98,72.14,Afternoon,3.0,52.5934
49.3,47.72,Afternoon,2.0,63.866
12.86,56.62,Evening,1.0,39.5698
33.93,66.77,Morning,2.0,59.92869999999999
38.32,28.41,Evening,1.0,52.6453
12.64,22.91,Evening,3.0,20.3819
36.68,106.25,Afternoon,3.0,76.6192
19.02,54.88,Evening,2.0,35.0028
31.98,52.39,Morning,3.0,57.7533
27.25,61.57,Evening,1.0,66.566
5.42,68.73,Morning,3.0,30.318
25.87,86.31,Evening,2.0,51.9016
3.0,34.01,Morning,2.0,19.6645
29.95,98.23,Morning,2.0,48.7802
34.2,113.92,Afternoon,1.0,86.1412
1.81,20.63,Night,1.0,12.5567
12.1,61.57,Morning,2.0,19.2643
32.61,11.91,Afternoon,1.0,31.3891
9.54,42.43,Afternoon,1.0,33.1785
7.74,21.54,Afternoon,1.0,15.0994
6.56,97.94,Afternoon,3.0,39.4174
46.31,61.57,Afternoon,1.0,96.939
43.99,74.71,Night,2.0,66.5363
33.34,72.33,Night,1.0,51.2721
41.04,41.3,Afternoon,1.0,63.522400000000005
28.2,15.0,Morning,2.0,37.086
26.95,61.57,Afternoon,2.0,44.7548
25.87,80.7,Afternoon,2.0,76.1018
32.02,6.39,Afternoon,2.0,60.38660000000001
17.61,64.68,Morning,1.0,58.257000000000005
18.11,74.66,Evening,2.0,59.7113
25.87,115.73,Night,2.0,89.0764
25.87,72.79,Night,3.0,77.18900000000001
44.47,59.18,Evening,2.0,95.1969
39.21,70.94,Morning,2.0,54.6348
32.46,111.71,Evening,3.0,102.8806
8.92,42.14,Morning,3.0,28.4048
45.03,32.28,Afternoon,1.0,53.2857
30.72,35.2,Afternoon,3.0,45.5308
1.45,63.01,Evening,1.0,12.2396
1.25,12.8,Afternoon,3.0,9.8005
27.89,97.69,Afternoon,1.0,31.3844
34.9,38.29,Afternoon,3.0,44.1375
11.99,54.06,Evening,2.0,40.839400000000005
12.63,102.2,Morning,3.0,66.10159999999999
32.83,106.59,Afternoon,1.0,58.9648
42.61,62.01,Morning,3.0,72.86829999999999
33.22,41.02,Night,1.0,70.5816
28.85,91.67,Morning,1.0,63.9534
5.59,30.31,Afternoon,2.0,17.147599999999997
19.02,49.68,Night,2.0,43.9748
20.26,29.7,Morning,3.0,23.0728
31.93,37.67,Afternoon,1.0,71.4247
39.95,25.25,Evening,3.0,59.828
25.63,61.57,Morning,3.0,39.066
25.87,49.37,Afternoon,3.0,18.7636
14.76,49.98,Evening,3.0,55.71979999999999
2.19,14.2,Afternoon,1.0,6.472899999999999
32.63,15.33,Night,1.0,35.8539
9.68,72.94,Morning,2.0,31.341
47.08,73.93,Evening,1.0,65.587
47.74,53.16,Evening,3.0,44.733
19.14,11.2,Evening,2.0,41.6946
1.76,64.4,Evening,2.0,23.3132
21.98,22.2,Morning,1.0,41.2036
48.37,61.57,Morning,2.0,41.2217
48.22,19.21,Night,3.0,105.144
42.8,16.62,Afternoon,2.0,57.55120000000001
15.43,75.12,Evening,2.0,29.0991
19.87,27.6,Afternoon,1.0,41.5138
42.71,33.91,Morning,3.0,48.4081
9.31,115.15,Afternoon,2.0,32.415000000000006
28.28,103.28,Afternoon,2.0,77.5496
35.11,42.67,Afternoon,3.0,70.2411
28.93,29.14,Morning,2.0,74.5744
5.76,61.57,Afternoon,2.0,19.3694
31.14,7.26,Afternoon,2.0,35.4798
37.3,97.47,Morning,3.0,107.7025
35.15,96.08,Afternoon,1.0,91.8308
25.87,24.57,Morning,3.0,29.5584
40.66,34.29,Afternoon,2.0,41.4292
40.7,35.27,Evening,2.0,91.2296
43.49,68.97,Evening,1.0,79.6245
45.75,52.31,Morning,3.0,50.5038
40.12,116.97,Morning,2.0,96.546
39.99,43.98,Afternoon,2.0,39.538
44.61,21.45,Afternoon,2.0,55.9143
17.56,103.66,Evening,1.0,36.0458
25.87,40.52,Afternoon,1.0,46.274
5.61,61.57,Afternoon,1.0,16.6464
29.34,70.14,Afternoon,2.0,82.3678
23.81,62.02,Morning,1.0,63.1719
15.04,15.09,Morning,1.0,33.4311
2.49,108.02,Afternoon,2.0,41.699
2.83,11.65,Morning,1.0,8.920300000000001
41.31,21.18,Afternoon,2.0,56.05960000000001
18.65,87.41,Afternoon,1.0,54.49459999999999
7.23,55.29,Evening,1.0,33.7491
26.59,51.41,Morning,2.0,34.2597
38.73,20.75,Morning,2.0,87.29869999999998
11.58,63.28,Morning,3.0,26.9202
31.52,19.55,Afternoon,1.0,29.0925
5.18,59.81,Evening,2.0,21.7323
3.53,92.82,Morning,1.0,16.1211
27.04,61.57,Night,2.0,25.6218
32.23,119.08,Afternoon,3.0,70.5144
48.82,101.76,Evening,2.0,99.5104
26.3,52.71,Evening,2.0,65.9299
14.27,19.13,Evening,2.0,19.1962
4.84,51.22,Evening,3.0,13.9136
2.24,102.26,Afternoon,1.0,19.9412
48.17,44.82,Evening,3.0,96.3487
35.1,86.57,Afternoon,2.0,53.5767
21.04,72.41,Afternoon,2.0,34.726
9.49,46.08,Evening,3.0,43.8894
8.67,71.36,Morning,2.0,53.1349
27.91,61.57,Morning,3.0,42.0962
36.02,119.17,Morning,2.0,79.2381
33.35,19.63,Evening,1.0,74.59979999999999
14.72,13.32,Morning,2.0,38.0988
37.16,39.71,Afternoon,2.0,84.4676
28.16,79.78,Morning,2.0,64.7324
25.87,42.84,Evening,3.0,37.4586
13.14,35.14,Afternoon,3.0,23.105000000000004
18.44,44.45,Afternoon,2.0,48.027
3.25,61.57,Night,3.0,28.5966
3.0,9.82,Afternoon,1.0,8.729600000000001
42.92,62.85,Morning,3.0,71.095
35.48,72.19,Afternoon,3.0,81.39859999999999
5.79,10.65,Morning,2.0,19.973
25.09,70.95,Morning,2.0,73.5818
24.2,103.17,Afternoon,1.0,49.4676
9.49,32.82,Evening,1.0,12.9998
22.26,105.77,Evening,2.0,46.7471
25.87,7.19,Evening,2.0,45.89750000000001
31.18,89.23,Afternoon,1.0,58.5727
3.22,80.58,Afternoon,1.0,32.151399999999995
19.36,55.49,Night,1.0,38.3875
31.67,10.16,Morning,1.0,23.9563
25.65,110.81,Evening,2.0,48.4142
33.28,8.33,Afternoon,1.0,69.9494
8.98,84.33,Evening,2.0,38.1392
4.46,60.41,Afternoon,3.0,23.7068
32.48,19.3,Evening,3.0,41.65619999999999
2.3,29.64,Night,2.0,13.4484
25.87,12.42,Afternoon,3.0,31.4168
29.2,76.53,Afternoon,3.0,59.87539999999999
20.02,63.16,Night,3.0,23.1614
23.45,104.02,Afternoon,1.0,57.915
27.74,75.8,Afternoon,1.0,46.9988
45.36,70.04,Night,3.0,54.436800000000005
4.4,45.28,Morning,2.0,16.834
5.94,110.47,Night,3.0,58.6618
1.89,20.41,Morning,1.0,6.1269
5.63,82.22,Evening,1.0,51.39649999999999
34.47,5.5,Afternoon,1.0,41.834700000000005
4.49,111.33,Morning,3.0,45.75449999999999
16.63,17.94,Evening,2.0,27.6353
40.91,47.96,Afternoon,1.0,88.1071
14.81,29.64,Afternoon,1.0,20.3458
6.79,72.29,Morning,3.0,22.4883
35.14,55.94,Afternoon,2.0,48.006600000000006
44.0,41.76,Morning,3.0,76.9996
9.69,85.28,Morning,2.0,37.0004
37.78,40.76,Night,2.0,40.9764
40.53,16.46,Afternoon,1.0,58.6974
49.53,36.33,Morning,2.0,68.9135
21.22,100.66,Morning,2.0,73.21499999999999
19.23,117.75,Morning,3.0,89.472
17.7,6.12,Afternoon,1.0,27.174
46.61,21.11,Evening,1.0,97.7908
43.06,42.04,Afternoon,1.0,94.3478
37.79,13.64,Afternoon,1.0,44.6222
37.97,113.49,Evening,2.0,97.57659999999998
6.05,46.98,Morning,3.0,24.4754
25.87,109.95,Morning,1.0,60.7045
25.76,94.76,Morning,3.0,36.7152
41.5,91.88,Evening,3.0,102.72459999999998
25.87,74.77,Afternoon,2.0,26.1176
44.88,77.08,Afternoon,1.0,68.4404
20.07,78.37,Evening,2.0,32.155
45.36,68.68,Afternoon,2.0,101.2576
5.47,118.44,Afternoon,3.0,44.69539999999999
47.58,105.33,Morning,3.0,74.8463
31.96,14.64,Afternoon,3.0,35.0564
22.97,60.53,Night,2.0,31.8132
15.37,64.12,Morning,1.0,45.1203
25.87,100.36,Morning,3.0,51.031000000000006
33.95,61.57,Afternoon,2.0,59.475
37.87,70.65,Night,1.0,64.5434
39.79,61.57,Afternoon,1.0,101.5506
39.69,61.57,Afternoon,3.0,31.0915
5.47,75.75,Morning,1.0,19.8829
25.23,100.22,Morning,3.0,51.0291
25.87,23.11,Night,1.0,19.2572
25.87,19.2,Afternoon,2.0,39.9065
8.01,50.28,Afternoon,3.0,31.7102
38.31,31.15,Afternoon,1.0,40.2799
31.29,24.7,Afternoon,1.0,46.8086
5.96,81.77,Afternoon,2.0,27.8795
35.35,79.01,Morning,1.0,58.825
4.57,15.12,Afternoon,2.0,13.0646
41.27,107.76,Evening,1.0,106.2963
25.87,49.77,Morning,2.0,59.1773
5.16,58.17,Night,2.0,26.6477
49.35,49.86,Morning,2.0,109.4796
19.34,104.31,Afternoon,2.0,79.24600000000001
19.16,111.87,Afternoon,2.0,34.5791
40.83,39.9,Evening,1.0,69.99549999999999
47.42,104.35,Morning,2.0,97.4848
25.87,94.88,Afternoon,1.0,70.745
37.92,112.04,Evening,2.0,77.56840000000001
19.44,33.26,Night,2.0,55.053
39.08,36.57,Afternoon,2.0,83.694
28.36,99.77,Afternoon,3.0,49.7657
21.79,5.61,Evening,2.0,31.7717
45.41,69.95,Afternoon,2.0,35.4031
6.45,44.01,Morning,2.0,33.5331
25.14,42.11,Night,3.0,43.069700000000005
23.96,102.92,Afternoon,3.0,83.7848
6.82,103.11,Afternoon,2.0,29.965799999999994
6.76,35.43,Afternoon,2.0,27.9315
32.81,64.74,Afternoon,2.0,55.82120000000001
29.59,6.34,Afternoon,3.0,49.36
48.15,69.03,Night,2.0,72.6627
19.37,81.08,Morning,3.0,26.9741
15.0,73.07,Night,3.0,46.46469999999999
43.56,89.67,Afternoon,3.0,57.426100000000005
11.96,70.7,Evening,2.0,41.71940000000001
48.2,12.68,Afternoon,3.0,68.63480000000001
25.87,18.39,Afternoon,3.0,14.6611
48.52,73.59,Evening,2.0,96.2845
3.11,36.62,Evening,3.0,12.1141
44.67,14.16,Afternoon,2.0,61.09400000000001
25.87,42.81,Evening,2.0,29.7551
28.14,87.85,Evening,3.0,86.5536
26.63,43.27,Afternoon,1.0,35.08540000000001
31.84,91.81,Evening,3.0,45.6194
23.27,78.31,Afternoon,2.0,78.85079999999999
